PAY ITEM,"CODED PAY ITEMS FOR THE Jan 17, 2020 LETTING DESCRIPTION",UNIT,ABBREVIATION,S
550B1590,"STORM SEWERS, CLASS B, TYPE 6   27""",FOOT   ,STORM SEW CL B 6  27,
550B1600,"STORM SEWERS, CLASS B, TYPE 6   30""",FOOT   ,STORM SEW CL B 6  30,
550B1610,"STORM SEWERS, CLASS B, TYPE 6   33""",FOOT   ,STORM SEW CL B 6  33,
550B1620,"STORM SEWERS, CLASS B, TYPE 6   36""",FOOT   ,STORM SEW CL B 6  36,
550B1630,"STORM SEWERS, CLASS B, TYPE 6   39""",FOOT   ,STORM SEW CL B 6  39,
550B1640,"STORM SEWERS, CLASS B, TYPE 6   42""",FOOT   ,STORM SEW CL B 6  42,
550B1650,"STORM SEWERS, CLASS B, TYPE 6   48""",FOOT   ,STORM SEW CL B 6  48,
550B1660,"STORM SEWERS, CLASS B, TYPE 6   54""",FOOT   ,STORM SEW CL B 6  54,
550B1670,"STORM SEWERS, CLASS B, TYPE 6   60""",FOOT   ,STORM SEW CL B 6  60,
550B1680,"STORM SEWERS, CLASS B, TYPE 6   66""",FOOT   ,STORM SEW CL B 6  66,
550B1690,"STORM SEWERS, CLASS B, TYPE 6   72""",FOOT   ,STORM SEW CL B 6  72,
550B1700,"STORM SEWERS, CLASS B, TYPE 6   78""",FOOT   ,STORM SEW CL B 6  78,
550B1710,"STORM SEWERS, CLASS B, TYPE 6   84""",FOOT   ,STORM SEW CL B 6  84,
550B1720,"STORM SEWERS, CLASS B, TYPE 6   90""",FOOT   ,STORM SEW CL B 6  90,
550B1730,"STORM SEWERS, CLASS B, TYPE 6   96""",FOOT   ,STORM SEW CL B 6  96,
550B1740,"STORM SEWERS, CLASS B, TYPE 6  102""",FOOT   ,STORM SEW CL B 6 102,
550B1750,"STORM SEWERS, CLASS B, TYPE 6  108""",FOOT   ,STORM SEW CL B 6 108,
550B1830,"STORM SEWERS, CLASS B, TYPE 7   10""",FOOT   ,STORM SEW CL B 7  10,
550B1840,"STORM SEWERS, CLASS B, TYPE 7   12""",FOOT   ,STORM SEW CL B 7  12,
550B1850,"STORM SEWERS, CLASS B, TYPE 7   15""",FOOT   ,STORM SEW CL B 7  15,
550B1860,"STORM SEWERS, CLASS B, TYPE 7   18""",FOOT   ,STORM SEW CL B 7  18,
550B1870,"STORM SEWERS, CLASS B, TYPE 7   21""",FOOT   ,STORM SEW CL B 7  21,
550B1880,"STORM SEWERS, CLASS B, TYPE 7   24""",FOOT   ,STORM SEW CL B 7  24,
550B1890,"STORM SEWERS, CLASS B, TYPE 7   27""",FOOT   ,STORM SEW CL B 7  27,
550B1900,"STORM SEWERS, CLASS B, TYPE 7   30""",FOOT   ,STORM SEW CL B 7  30,
550B1910,"STORM SEWERS, CLASS B, TYPE 7   33""",FOOT   ,STORM SEW CL B 7  33,
550B1920,"STORM SEWERS, CLASS B, TYPE 7   36""",FOOT   ,STORM SEW CL B 7  36,
550B1930,"STORM SEWERS, CLASS B, TYPE 7   39""",FOOT   ,STORM SEW CL B 7  39,
550B1940,"STORM SEWERS, CLASS B, TYPE 7   42""",FOOT   ,STORM SEW CL B 7  42,
550B1950,"STORM SEWERS, CLASS B, TYPE 7   48""",FOOT   ,STORM SEW CL B 7  48,
550B1960,"STORM SEWERS, CLASS B, TYPE 7   54""",FOOT   ,STORM SEW CL B 7  54,
550B1970,"STORM SEWERS, CLASS B, TYPE 7   60""",FOOT   ,STORM SEW CL B 7  60,
550B1980,"STORM SEWERS, CLASS B, TYPE 7   66""",FOOT   ,STORM SEW CL B 7  66,
550B1990,"STORM SEWERS, CLASS B, TYPE 7   72""",FOOT   ,STORM SEW CL B 7  72,
550B2000,"STORM SEWERS, CLASS B, TYPE 7   78""",FOOT   ,STORM SEW CL B 7  78,
550B2010,"STORM SEWERS, CLASS B, TYPE 7   84""",FOOT   ,STORM SEW CL B 7  84,
550B2020,"STORM SEWERS, CLASS B, TYPE 7   90""",FOOT   ,STORM SEW CL B 7  90,
550B2030,"STORM SEWERS, CLASS B, TYPE 7   96""",FOOT   ,STORM SEW CL B 7  96,
550B2040,"STORM SEWERS, CLASS B, TYPE 7  102""",FOOT   ,STORM SEW CL B 7 102,
550B2050,"STORM SEWERS, CLASS B, TYPE 7  108""",FOOT   ,STORM SEW CL B 7 108,
550B2310,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   10""",FOOT   ,SS RG CL B 1   10,
550B2320,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   12""",FOOT   ,SS RG CL B 1   12,
550B2330,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   15""",FOOT   ,SS RG CL B 1   15,
550B2340,"STORM SEWERS, RUBBER GASKET, CLASS A, TYPE 1   18""",FOOT   ,SS RG CL B 1   18,
550B2350,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   21""",FOOT   ,SS RG CL B 1   21,
550B2360,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   24""",FOOT   ,SS RG CL B 1   24,
550B2370,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   27""",FOOT   ,SS RG CL B 1   27,
550B2380,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   30""",FOOT   ,SS RG CL B 1   30,
550B2390,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   33""",FOOT   ,SS RG CL B 1   33,
550B2400,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   36""",FOOT   ,SS RG CL B 1   36,
550B2410,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   42""",FOOT   ,SS RG CL B 1   42,
550B2420,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   48""",FOOT   ,SS RG CL B 1   48,
550B2430,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   54""",FOOT   ,SS RG CL B 1   54,
550B2440,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   60""",FOOT   ,SS RG CL B 1   60,
550B2450,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   66""",FOOT   ,SS RG CL B 1   66,
550B2460,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 1   72""",FOOT   ,SS RG CL B 1   72,
550B2510,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   10""",FOOT   ,SS RG CL B 2   10,
550B2520,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   12""",FOOT   ,SS RG CL B 2   12,
550B2530,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   15""",FOOT   ,SS RG CL B 2   15,
550B2540,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   18""",FOOT   ,SS RG CL B 2   18,
550B2550,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   21""",FOOT   ,SS RG CL B 2   21,
550B2560,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   24""",FOOT   ,SS RG CL B 2   24,
550B2570,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   27""",FOOT   ,SS RG CL B 2   27,
550B2580,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   30""",FOOT   ,SS RG CL B 2   30,
550B2590,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   33""",FOOT   ,SS RG CL B 2   33,
550B2600,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   36""",FOOT   ,SS RG CL B 2   36,
550B2610,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   42""",FOOT   ,SS RG CL B 2   42,
550B2620,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   48""",FOOT   ,SS RG CL B 2   48,
550B2630,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   54""",FOOT   ,SS RG CL B 2   54,
550B2640,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   60""",FOOT   ,SS RG CL B 2   60,
550B2650,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 2   66""",FOOT   ,SS RG CL B 2   66,
550B2710,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   10""",FOOT   ,SS RG CL B 3   10,
550B2720,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   12""",FOOT   ,SS RG CL B 3   12,
550B2730,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   15""",FOOT   ,SS RG CL B 3   15,
550B2740,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   18""",FOOT   ,SS RG CL B 3   18,
550B2750,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   21""",FOOT   ,SS RG CL B 3   21,
550B2760,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   24""",FOOT   ,SS RG CL B 3   24,
550B2770,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   27""",FOOT   ,SS RG CL B 3   27,
550B2780,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   30""",FOOT   ,SS RG CL B 3   30,
550B2790,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   33""",FOOT   ,SS RG CL B 3   33,
550B2800,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   36""",FOOT   ,SS RG CL B 3   36,
550B2810,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   42""",FOOT   ,SS RG CL B 3   42,
550B2820,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   48""",FOOT   ,SS RG CL B 3   48,
550B2830,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   54""",FOOT   ,SS RG CL B 3   54,
550B2840,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   60""",FOOT   ,SS RG CL B 3   60,
550B2850,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   66""",FOOT   ,SS RG CL B 3   66,
550B2860,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 3   72""",FOOT   ,SS RG CL B 3   72,
550B2910,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   10""",FOOT   ,SS RG CL B 4   10,
550B2920,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   12""",FOOT   ,SS RG CL B 4   12,
550B2930,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   15""",FOOT   ,SS RG CL B 4   15,
550B2940,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   18""",FOOT   ,SS RG CL B 4   18,
550B2950,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   21""",FOOT   ,SS RG CL B 4   21,
550B2960,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   24""",FOOT   ,SS RG CL B 4   24,
550B2970,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   27""",FOOT   ,SS RG CL B 4   27,
550B2980,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   30""",FOOT   ,SS RG CL B 4   30,
550B2990,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   33""",FOOT   ,SS RG CL B 4   33,
550B3000,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   36""",FOOT   ,SS RG CL B 4   36,
550B3010,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   42""",FOOT   ,SS RG CL B 4   42,
550B3020,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   48""",FOOT   ,SS RG CL B 4   48,
550B3030,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   54""",FOOT   ,SS RG CL B 4   54,
550B3040,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   60""",FOOT   ,SS RG CL B 4   60,
550B3050,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   66""",FOOT   ,SS RG CL B 4   66,
550B3060,"STORM SEWERS, RUBBER GASKET, CLASS B, TYPE 4   72""",FOOT   ,SS RG CL B 4   72,
55100100,"STORM SEWER REMOVAL   4""",FOOT   ,STORM SEWER REM   4,
55100200,"STORM SEWER REMOVAL   6""",FOOT   ,STORM SEWER REM   6,
55100300,"STORM SEWER REMOVAL   8""",FOOT   ,STORM SEWER REM   8,
55100400,"STORM SEWER REMOVAL  10""",FOOT   ,STORM SEWER REM  10,
55100500,"STORM SEWER REMOVAL  12""",FOOT   ,STORM SEWER REM  12,
55100600,"STORM SEWER REMOVAL  14""",FOOT   ,STORM SEWER REM  14,
55100700,"STORM SEWER REMOVAL  15""",FOOT   ,STORM SEWER REM  15,
55100800,"STORM SEWER REMOVAL  16""",FOOT   ,STORM SEWER REM  16,
55100900,"STORM SEWER REMOVAL  18""",FOOT   ,STORM SEWER REM  18,
55101000,"STORM SEWER REMOVAL  20""",FOOT   ,STORM SEWER REM  20,
55101100,"STORM SEWER REMOVAL  21""",FOOT   ,STORM SEWER REM  21,
55101200,"STORM SEWER REMOVAL  24""",FOOT   ,STORM SEWER REM  24,
55101300,"STORM SEWER REMOVAL  27""",FOOT   ,STORM SEWER REM  27,
55101400,"STORM SEWER REMOVAL  30""",FOOT   ,STORM SEWER REM  30,
55101500,"STORM SEWER REMOVAL  33""",FOOT   ,STORM SEWER REM  33,
55101600,"STORM SEWER REMOVAL  36""",FOOT   ,STORM SEWER REM  36,
55101700,"STORM SEWER REMOVAL  39""",FOOT   ,STORM SEWER REM  39,
55101800,"STORM SEWER REMOVAL  42""",FOOT   ,STORM SEWER REM  42,
55101900,"STORM SEWER REMOVAL  48""",FOOT   ,STORM SEWER REM  48,
55102000,"STORM SEWER REMOVAL  54""",FOOT   ,STORM SEWER REM  54,
55102100,"STORM SEWER REMOVAL  60""",FOOT   ,STORM SEWER REM  60,
55102200,"STORM SEWER REMOVAL  66""",FOOT   ,STORM SEWER REM  66,
55102300,"STORM SEWER REMOVAL  72""",FOOT   ,STORM SEWER REM  72,
55102400,"STORM SEWER REMOVAL  78""",FOOT   ,STORM SEWER REM  78,
55102500,"STORM SEWER REMOVAL  84""",FOOT   ,STORM SEWER REM  84,
55102600,"STORM SEWER REMOVAL  90""",FOOT   ,STORM SEWER REM  90,
55102700,"STORM SEWER REMOVAL  96""",FOOT   ,STORM SEWER REM  96,
55102800,"STORM SEWER REMOVAL 102""",FOOT   ,STORM SEWER REM 102,
55102900,"STORM SEWER REMOVAL 108""",FOOT   ,STORM SEWER REM 108,
55103030,"STORM SEWER REMOVAL, EQUIVALENT ROUND-SIZE 30""",FOOT   ,SS REMOVAL EQRS 30,
55106005,"STORM SEWER INSTALLATION  4""",FOOT   ,SS INSTALL   4,
55106010,"STORM SEWER INSTALLATION  6""",FOOT   ,SS INSTALL   6,
55106015,"STORM SEWER INSTALLATION  8""",FOOT   ,SS INSTALL   8,
55106020,"STORM SEWER INSTALLATION  10""",FOOT   ,SS INSTALL  10,
55106025,"STORM SEWER INSTALLATION  12""",FOOT   ,SS INSTALL  12,
55106030,"STORM SEWER INSTALLATION  14""",FOOT   ,SS INSTALL  14,
55106035,"STORM SEWER INSTALLATION  15""",FOOT   ,SS INSTALL  15,
55106040,"STORM SEWER INSTALLATION  16""",FOOT   ,SS INSTALL  16,
55106045,"STORM SEWER INSTALLATION  18""",FOOT   ,SS INSTALL  18,
55106050,"STORM SEWER INSTALLATION  20""",FOOT   ,SS INSTALL  20,
55106055,"STORM SEWER INSTALLATION  21""",FOOT   ,SS INSTALL  21,
55106060,"STORM SEWER INSTALLATION  24""",FOOT   ,SS INSTALL  24,
55106065,"STORM SEWER INSTALLATION  27""",FOOT   ,SS INSTALL  27,
55106070,"STORM SEWER INSTALLATION  30""",FOOT   ,SS INSTALL  30,
55106075,"STORM SEWER INSTALLATION  33""",FOOT   ,SS INSTALL  33,
55106080,"STORM SEWER INSTALLATION  36""",FOOT   ,SS INSTALL  36,
55106085,"STORM SEWER INSTALLATION  39""",FOOT   ,SS INSTALL  39,
55106090,"STORM SEWER INSTALLATION  42""",FOOT   ,SS INSTALL  42,
55106095,"STORM SEWER INSTALLATION  48""",FOOT   ,SS INSTALL  48,
55106100,"STORM SEWER INSTALLATION  54""",FOOT   ,SS INSTALL  54,
55106105,"STORM SEWER INSTALLATION  60""",FOOT   ,SS INSTALL  60,
55106110,"STORM SEWER INSTALLATION  66""",FOOT   ,SS INSTALL  66,
55106115,"STORM SEWER INSTALLATION  72""",FOOT   ,SS INSTALL  72,
55106120,"STORM SEWER INSTALLATION  78""",FOOT   ,SS INSTALL  78,
55106125,"STORM SEWER INSTALLATION  84""",FOOT   ,SS INSTALL  84,
55106130,"STORM SEWER INSTALLATION  90""",FOOT   ,SS INSTALL  90,
55106135,"STORM SEWER INSTALLATION  96""",FOOT   ,SS INSTALL  96,
55106140,"STORM SEWER INSTALLATION 102""",FOOT   ,SS INSTALL 102,
55106145,"STORM SEWER INSTALLATION 108""",FOOT   ,SS INSTALL 108,
55200100,"STORM SEWERS JACKED IN PLACE, 10""",FOOT   ,STORM SEWERS JKD   10,
55200200,"STORM SEWERS JACKED IN PLACE, 12""",FOOT   ,STORM SEWERS JKD   12,
55200300,"STORM SEWERS JACKED IN PLACE, 14""",FOOT   ,STORM SEWERS JKD   14,
55200400,"STORM SEWERS JACKED IN PLACE, 15""",FOOT   ,STORM SEWERS JKD   15,
55200500,"STORM SEWERS JACKED IN PLACE, 16""",FOOT   ,STORM SEWERS JKD   16,
55200600,"STORM SEWERS JACKED IN PLACE, 18""",FOOT   ,STORM SEWERS JKD   18,
55200700,"STORM SEWERS JACKED IN PLACE, 20""",FOOT   ,STORM SEWERS JKD   20,
55200800,"STORM SEWERS JACKED IN PLACE, 21""",FOOT   ,STORM SEWERS JKD   21,
55200900,"STORM SEWERS JACKED IN PLACE, 24""",FOOT   ,STORM SEWERS JKD   24,
55201000,"STORM SEWERS JACKED IN PLACE, 27""",FOOT   ,STORM SEWERS JKD   27,
55201100,"STORM SEWERS JACKED IN PLACE, 30""",FOOT   ,STORM SEWERS JKD   30,
55201200,"STORM SEWERS JACKED IN PLACE, 33""",FOOT   ,STORM SEWERS JKD   33,
55201300,"STORM SEWERS JACKED IN PLACE, 36""",FOOT   ,STORM SEWERS JKD   36,
55201400,"STORM SEWERS JACKED IN PLACE, 39""",FOOT   ,STORM SEWERS JKD   39,
55201500,"STORM SEWERS JACKED IN PLACE, 42""",FOOT   ,STORM SEWERS JKD   42,
55201600,"STORM SEWERS JACKED IN PLACE, 48""",FOOT   ,STORM SEWERS JKD   48,
55201700,"STORM SEWERS JACKED IN PLACE, 54""",FOOT   ,STORM SEWERS JKD   54,
55201800,"STORM SEWERS JACKED IN PLACE, 60""",FOOT   ,STORM SEWERS JKD   60,
55201900,"STORM SEWERS JACKED IN PLACE, 66""",FOOT   ,STORM SEWERS JKD   66,
55202000,"STORM SEWERS JACKED IN PLACE, 72""",FOOT   ,STORM SEWERS JKD   72,
55202100,"STORM SEWERS JACKED IN PLACE, 78""",FOOT   ,STORM SEWERS JKD   78,
55202184,"STORM SEWERS JACKED IN PLACE, 84""",FOOT   ,STORM SEWERS JKD   84,
55202196,"STORM SEWERS JACKED IN PLACE, 96""",FOOT   ,STORM SEWERS JKD   96,
56000090,"CAST IRON SOIL PIPE  3""",FOOT   ,C I SOIL PIPE  3,
56000100,"CAST IRON SOIL PIPE  4""",FOOT   ,C I SOIL PIPE  4,
56000200,"CAST IRON SOIL PIPE  6""",FOOT   ,C I SOIL PIPE  6,
56000300,"CAST IRON SOIL PIPE  8""",FOOT   ,C I SOIL PIPE  8,
56000400,"CAST IRON SOIL PIPE 10""",FOOT   ,C I SOIL PIPE 10,
56000500,"CAST IRON SOIL PIPE 12""",FOOT   ,C I SOIL PIPE 12,
56000600,"CAST IRON SOIL PIPE 15""",FOOT   ,C I SOIL PIPE 15,
56100003,"DUCTILE IRON WATER MAIN TEE,   4"" X  4""",EACH   ,"DI WAT MN TEE,   4X 4",
56100004,"DUCTILE IRON WATER MAIN TEE,   6"" X  4""",EACH   ,"DI WAT MN TEE,   6X 4",
56100005,"DUCTILE IRON WATER MAIN TEE,   6"" X  6""",EACH   ,"DI WAT MN TEE,   6X 6",
56100010,"DUCTILE IRON WATER MAIN TEE,   8"" X  4""",EACH   ,"DI WAT MN TEE,   8X 4",
56100015,"DUCTILE IRON WATER MAIN TEE,   8"" X  6""",EACH   ,"DI WAT MN TEE,   8X 6",
56100020,"DUCTILE IRON WATER MAIN TEE,   8"" X  8""",EACH   ,"DI WAT MN TEE,   8X 8",
56100025,"DUCTILE IRON WATER MAIN TEE,  10"" X  4""",EACH   ,"DI WAT MN TEE,  10X 4",
56100030,"DUCTILE IRON WATER MAIN TEE,  10"" X  6""",EACH   ,"DI WAT MN TEE,  10X 6",
56100035,"DUCTILE IRON WATER MAIN TEE,  10"" X  8""",EACH   ,"DI WAT MN TEE,  10X 8",
56100040,"DUCTILE IRON WATER MAIN TEE,  10"" X 10""",EACH   ,"DI WAT MN TEE,  10X10",
56100045,"DUCTILE IRON WATER MAIN TEE,  12"" X  4""",EACH   ,"DI WAT MN TEE,  12X 4",
56100050,"DUCTILE IRON WATER MAIN TEE,  12"" X  6""",EACH   ,"DI WAT MN TEE,  12X 6",
56100055,"DUCTILE IRON WATER MAIN TEE,  12"" X  8""",EACH   ,"DI WAT MN TEE,  12X 8",
56100060,"DUCTILE IRON WATER MAIN TEE,  12"" X 10""",EACH   ,"DI WAT MN TEE,  12X10",
56100065,"DUCTILE IRON WATER MAIN TEE,  12"" X 12""",EACH   ,"DI WAT MN TEE,  12X12",
56100070,"DUCTILE IRON WATER MAIN TEE,  14"" X 12""",EACH   ,"DI WAT MN TEE,  14X12",
56100075,"DUCTILE IRON WATER MAIN TEE,  16"" X  6""",EACH   ,"DI WAT MN TEE,  16X 6",
56100077,"DUCTILE IRON WATER MAIN TEE,  16"" X  8""",EACH   ,"DI WAT MN TEE,  16X 8",
56100080,"DUCTILE IRON WATER MAIN TEE,  16"" X 12""",EACH   ,"DI WAT MN TEE,  16X12",
56100085,"DUCTILE IRON WATER MAIN TEE,  20"" X  6""",EACH   ,"DI WAT MN TEE,  20X 6",
56100090,"DUCTILE IRON WATER MAIN TEE,  20"" X  8""",EACH   ,"DI WAT MN TEE,  20X 8",
56100095,"DUCTILE IRON WATER MAIN TEE,  20"" X 12""",EACH   ,"DI WAT MN TEE,  20X12",
56100098,"DUCTILE IRON WATER MAIN TEE,  20"" X 20""",EACH   ,"DI WAT MN TEE,  20X20",
56100100,"WATER MAIN   1""",FOOT   ,WATER MAIN   1,
56100200,"WATER MAIN   1 1/2""",FOOT   ,WATER MAIN   1 1/2,
56100300,"WATER MAIN   2""",FOOT   ,WATER MAIN   2,
56100400,"WATER MAIN   3""",FOOT   ,WATER MAIN   3,
56100500,"WATER MAIN   4""",FOOT   ,WATER MAIN   4,
56100600,"WATER MAIN   6""",FOOT   ,WATER MAIN   6,
56100700,"WATER MAIN   8""",FOOT   ,WATER MAIN   8,
56100800,"WATER MAIN  10""",FOOT   ,WATER MAIN  10,
56100900,"WATER MAIN  12""",FOOT   ,WATER MAIN  12,
56100950,"WATER MAIN  14""",FOOT   ,WATER MAIN  14,
56101000,"WATER MAIN  16""",FOOT   ,WATER MAIN  16,
56101100,"WATER MAIN  18""",FOOT   ,WATER MAIN  18,
56101110,"WATER MAIN  20""",FOOT   ,WATER MAIN  20,
56101120,"WATER MAIN  24""",FOOT   ,WATER MAIN  24,
56101140,"DUCTILE IRON WATER MAIN REDUCER, 4"" X  3""",EACH   ,"DI WAT MN RED,  4 X 3",
56101142,"DUCTILE IRON WATER MAIN REDUCER, 4"" X  6""",EACH   ,"DI WAT MN RED,  4 X 6",
56101144,"DUCTILE IRON WATER MAIN REDUCER, 6"" X  2""",EACH   ,"DI WAT MN RED,  6 X 2",
56101146,"DUCTILE IRON WATER MAIN REDUCER, 6"" X  4""",EACH   ,"DI WAT MN RED,  6 X 4",
56101148,"DUCTILE IRON WATER MAIN REDUCER, 8"" X  4""",EACH   ,"DI WAT MN RED,  8 X 4",
56101150,"DUCTILE IRON WATER MAIN REDUCER, 8"" X  6""",EACH   ,"DI WAT MN RED,  8 X 6",
56101152,"DUCTILE IRON WATER MAIN REDUCER, 10"" X  4""",EACH   ,"DI WAT MN RED, 10 X 4",
56101154,"DUCTILE IRON WATER MAIN REDUCER, 10"" X  6""",EACH   ,"DI WAT MN RED, 10 X 6",
56101156,"DUCTILE IRON WATER MAIN REDUCER, 10"" X  8""",EACH   ,"DI WAT MN RED, 10 X 8",
56101158,"DUCTILE IRON WATER MAIN REDUCER, 12"" X  6""",EACH   ,"DI WAT MN RED, 12 X 6",
56101160,"DUCTILE IRON WATER MAIN REDUCER, 12"" X  8""",EACH   ,"DI WAT MN RED, 12 X 8",
56101162,"DUCTILE IRON WATER MAIN REDUCER, 12"" X 10""",EACH   ,"DI WAT MN RED, 12 X10",
56101164,"DUCTILE IRON WATER MAIN REDUCER, 14"" X 12""",EACH   ,"DI WAT MN RED, 14 X12",
56101166,"DUCTILE IRON WATER MAIN REDUCER, 16"" X 12""",EACH   ,"DI WAT MN RED, 16 X12",
56101168,"DUCTILE IRON WATER MAIN REDUCER, 20"" X 12""",EACH   ,"DI WAT MN RED, 20 X12",
56101200,"CAST IRON WATER MAIN   2""",FOOT   ,C I WATER MAIN   2,*
56101300,"CAST IRON WATER MAIN   4""",FOOT   ,C I WATER MAIN   4,*
56101400,"CAST IRON WATER MAIN   6""",FOOT   ,C I WATER MAIN   6,*
56101500,"CAST IRON WATER MAIN   8""",FOOT   ,C I WATER MAIN   8,*
56101600,"CAST IRON WATER MAIN  10""",FOOT   ,C I WATER MAIN  10,*
56101700,"CAST IRON WATER MAIN  12""",FOOT   ,C I WATER MAIN  12,*
56101800,"CAST IRON WATER MAIN  16""",FOOT   ,C I WATER MAIN  16,*
56101900,"CAST IRON WATER MAIN  18""",FOOT   ,C I WATER MAIN  18,*
56101910,"CAST IRON WATER MAIN  20""",FOOT   ,C I WATER MAIN  20,*
56101920,"CAST IRON WATER MAIN  24""",FOOT   ,C I WATER MAIN  24,*
56102000,"CAST IRON WATER MAIN, MECHANICAL JOINT  2""",FOOT   ,C I WATER MAIN MJ  2,*
56102100,"CAST IRON WATER MAIN, MECHANICAL JOINT  4""",FOOT   ,C I WATER MAIN MJ  4,*
56102200,"CAST IRON WATER MAIN, MECHANICAL JOINT  6""",FOOT   ,C I WATER MAIN MJ  6,*
56102300,"CAST IRON WATER MAIN, MECHANICAL JOINT  8""",FOOT   ,C I WATER MAIN MJ  8,*
56102400,"CAST IRON WATER MAIN, MECHANICAL JOINT 10""",FOOT   ,C I WATER MAIN MJ 10,*
56102500,"CAST IRON WATER MAIN, MECHANICAL JOINT 12""",FOOT   ,C I WATER MAIN MJ 12,*
56102600,"CAST IRON WATER MAIN, MECHANICAL JOINT 16""",FOOT   ,C I WATER MAIN MJ 16,*
56102700,"CAST IRON WATER MAIN, MECHANICAL JOINT 18""",FOOT   ,C I WATER MAIN MJ 18,*
56102710,"CAST IRON WATER MAIN, MECHANICAL JOINT 20""",FOOT   ,C I WATER MAIN MJ 20,*
56102720,"CAST IRON WATER MAIN, MECHANICAL JOINT 24""",FOOT   ,C I WATER MAIN MJ 24,*
56102800,"DUCTILE IRON WATER MAIN   2""",FOOT   ,D I WATER MAIN   2,*
56102900,"DUCTILE IRON WATER MAIN   4""",FOOT   ,D I WATER MAIN   4,*
56103000,"DUCTILE IRON WATER MAIN   6""",FOOT   ,D I WATER MAIN   6,*
56103100,"DUCTILE IRON WATER MAIN   8""",FOOT   ,D I WATER MAIN   8,*
56103200,"DUCTILE IRON WATER MAIN  10""",FOOT   ,D I WATER MAIN  10,*
56103300,"DUCTILE IRON WATER MAIN  12""",FOOT   ,D I WATER MAIN  12,*
